주소,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
89pmjra1ser5j7VFsFevRG3kaz1GXnBRBQcDi9hopump,311395.53,7708.75,40.40,4628.43,0,2025-01-15
5AKZVJEBuiFZVarG2dyw1xyGkZ8AH8Tpq5C4oM9zpump,306084.90,7713.46,39.68,4499.08,0,2025-01-15
BM5tqiES9fB69F1rnvnnwDGzKQcGcQS6uVQUY7iBpump,299622.11,11945.71,25.08,11164.40,0,2025-01-15
EvCN67FZVEToUUoRm5B6D3fmmSs8AiMKuuhY9Gsrpump,214373.54,7529.98,28.47,4423.72,0,2025-01-15
9oZoMw6fwgSY5S8y2aujxfCogzXY25xQMFxbr2hPpump,69666.05,6759.19,10.31,3649.78,0,2025-01-15
FzLY5bwLm5Rt3z5dkKgPUHC8RUnWgAkoPoRsSKfVpump,241824.72,26206.31,9.23,53784.66,0,2025-01-15
HK2H2ri5D2x2VMc4DTgtmwNTZPackyY9cAhqymVWpump,34596.86,6367.05,5.43,3244.64,0,2025-01-15
EmHgpBV8i77HqpYJCMJ1VA87egAF4hjLHECFGJa9pump,226108.41,14911.08,15.16,16979.91,0,2025-01-15
CC6BJWsESfg95TDcmZySybQ9DknmBovD9f1FfdTgpump,157306.27,8256.04,19.05,5308.01,0,2025-01-15
EJyjQRhXqrhsvJ5F4fsY6RTCZwgaXhBm5aFZdMV2pump,366020.54,12304.61,29.75,11506.27,0,2025-01-15
DJYFQfQR62axx6SWyF6z7hRGAsRUFk4CiCnT8D3cpump,156312.19,6693.95,23.35,3522.41,0,2025-01-15
FNhA1w3Vgt9VYTVGG81wMevFRTN5pM8RkQRbGur4pump,72450.66,6514.91,11.12,3386.16,0,2025-01-15
CiGFBYi4U5YFWfb2rhBNMrBVY9snK3aEuyPB6tsEpump,587547.23,8436.86,69.64,5439.55,0,2025-01-15
9dQ5WkJwf9dymddzhHKsLnnoyTFjstGaxFXGpbUhpump,161995.96,6880.79,23.54,3676.94,0,2025-01-15
4bfHnY9q7ZFbHL6kJFr7WpFzkoUSUM2dmSKYV8DSpump,49549.63,7102.17,6.98,4038.00,0,2025-01-15
6jzJVTTTnVtNNdaYnecGSKG4kEQKkBVe8vM1HMGepump,120003.52,7045.49,17.03,3930.56,0,2025-01-15
41KWnRikPWLGbfV1Hc1LCz56FZhB8jSFdAN9baY78Hdw,203708.05,6803.80,29.94,3667.04,0,2025-01-15
GcagVcvbMHGwG3wLeuUbqkbumx7ndTF3PdgAhh4tpump,45977.05,6384.26,7.20,3289.73,0,2025-01-15
87qvSvB3S2hK8fjaxegGFC8vFU2AjTZ6X4Cafqv4pump,416865.70,7425.62,56.14,4254.76,0,2025-01-15
7UN3pM7MeY5Znb2QcT5KisLuAgCdS8Kuyx8mctJpump,33801.15,6388.80,5.29,3255.53,0,2025-01-15
9ZZ5nyv6gwfmd3CfoKiyav5KRRG6Su8LxqCXgF69pump,63310.15,6476.84,9.77,3342.79,0,2025-01-15
5L7YjmXzEkjP1Pjw16JYWdnsNfQNW4qrH1c1W4Sfpump,67539.56,6711.91,10.06,3585.24,0,2025-01-15
ABBWa4cbLt6obCMfh94DBPXehsX62zzBB6wtfYaFpump,358273.80,7242.22,49.47,4046.07,0,2025-01-15
6CcuCL1LESQqTznT6wi9kjLPnAZs6b4GM1D1GeS8pump,6978179.24,117562.88,59.36,700262.43,0,2025-01-15
AC1AvDwL9WGXQb6GcxUFpQbeSdNQom33T2r391trpump,236478.39,7147.86,33.08,3989.76,0,2025-01-15
DGB491vkbtZeWcxiP6R6CHD2r9u5o67E8Vb23x9spump,157781.63,6887.60,22.91,3751.61,0,2025-01-15
DzUbSnn2jZSuzcXXF2cv2bhecLczDrVKC28oe37Zpump,110830.38,7460.97,14.85,4414.54,0,2025-01-15
CzPqb18FDSrTFDEMqDcNExVrgdBCgYakrU7ASRWTpump,70002.40,11782.23,5.94,11109.61,0,2025-01-15
Gbxv5VmvXYotiqLug24AixTGPNz7XmRXPJxrvScpump,242800.46,7241.27,33.53,4063.64,0,2025-01-15
HDXByDDMW2ntbqGtNV9eZ3aDCC4VhFNG79x6nnAHpump,185025.30,21206.37,8.72,35421.58,0,2025-01-15
M7Rs8Q45wbhk1e96WCvWe8hvdbykkCzCgwXdNekpump,57217.69,6541.87,8.75,3399.20,0,2025-01-15
6PBqCJWSmHaZFbZTSHXyMGu6DeyVqds5QUsd5Y1pump,1058104.42,9853.86,107.38,7398.87,0,2025-01-15
3kjj9WgAJy27jcddwM2rzTYnnhhCQx4vKX87cUhypump,84251.13,6620.04,12.73,3568.36,0,2025-01-15
zhtYUkJ5hmpCt4Gmjx35MgPy2UXYZHgYhFR5xWtpump,64669.77,6429.92,10.06,3303.17,0,2025-01-15
